refund_id,order_ref,amount_inr,reason_code,status,approved_by,requested_on
KW-RF-00048,KW-O-000910,6499,quality,approved,finance,2025-11-12
KW-RF-00049,KW-O-001301,12999,quality,approved,ops_manager,2025-08-03
KW-RF-00050,KW-O-000587,24999,damaged,processed,team_lead,2025-12-23
KW-RF-00051,KW-O-000072,1499,late_delivery,processed,agent,2026-05-25
KW-RF-00052,KW-O-000401,2999,damaged,processed,team_lead,2026-04-10
KW-RF-00053,KW-O-000216,24999,damaged,processed,finance,2026-01-01
KW-RF-00054,KW-O-001327,299,wrong_item,processed,ops_manager,2026-06-29
KW-RF-00055,KW-O-000745,12999,quality,approved,finance,2025-11-17
KW-RF-00056,KW-O-000334,799,quality,processed,auto,2026-04-16
KW-RF-00057,KW-O-000391,799,late_delivery,approved,auto,2026-03-28
KW-RF-00058,KW-O-001367,6499,changed_mind,processed,ops_manager,2026-05-07
KW-RF-00059,KW-O-000178,299,quality,requested,auto,2026-05-05
KW-RF-00060,KW-O-001420,2999,changed_mind,processed,ops_manager,2025-11-23
KW-RF-00061,KW-O-000396,2999,damaged,processed,finance,2026-03-31
KW-RF-00062,KW-O-000005,24999,quality,processed,finance,2025-09-30
KW-RF-00063,KW-O-000898,299,not_delivered,approved,ops_manager,2026-03-12
KW-RF-00064,KW-O-000555,2999,not_delivered,rejected,agent,2026-04-05
KW-RF-00065,KW-O-000626,24999,changed_mind,approved,finance,2026-02-24
KW-RF-00066,KW-O-001192,799,late_delivery,processed,auto,2025-12-31
KW-RF-00067,KW-O-001294,12999,damaged,processed,finance,2026-04-16
KW-RF-00068,KW-O-000984,24999,changed_mind,approved,team_lead,2026-02-20
KW-RF-00069,KW-O-001380,299,quality,approved,auto,2026-06-03
KW-RF-00070,KW-O-001266,2999,late_delivery,approved,auto,2026-07-18
KW-RF-00071,KW-O-001421,2999,quality,processed,auto,2026-07-01
KW-RF-00072,KW-O-000657,799,late_delivery,requested,ops_manager,2025-08-09
KW-RF-00073,KW-O-000758,1499,late_delivery,processed,team_lead,2025-08-25
KW-RF-00074,KW-O-000286,12999,quality,processed,team_lead,2026-07-27
KW-RF-00075,KW-O-000688,6499,not_delivered,processed,ops_manager,2026-01-12
KW-RF-00076,KW-O-001173,1499,not_delivered,processed,auto,2026-04-07
KW-RF-00077,KW-O-000349,2999,quality,requested,auto,2026-02-10
KW-RF-00078,KW-O-001061,799,changed_mind,processed,auto,2026-05-31
KW-RF-00079,KW-O-001065,12999,late_delivery,approved,finance,2026-07-24
KW-RF-00080,KW-O-000628,299,wrong_item,processed,team_lead,2025-12-06
KW-RF-00081,KW-O-001193,12999,wrong_item,approved,team_lead,2026-04-27
KW-RF-00082,KW-O-001057,299,late_delivery,approved,team_lead,2025-12-03
KW-RF-00083,KW-O-001023,299,damaged,processed,agent,2026-06-12
KW-RF-00084,KW-O-001432,2999,not_delivered,processed,team_lead,2025-09-10
KW-RF-00085,KW-O-000579,6499,wrong_item,processed,ops_manager,2025-10-18
KW-RF-00086,KW-O-000274,2999,late_delivery,requested,agent,2025-09-09
KW-RF-00087,KW-O-000951,1499,late_delivery,rejected,auto,2025-09-20
KW-RF-00088,KW-O-001074,12999,damaged,requested,ops_manager,2025-08-02
KW-RF-00089,KW-O-001292,24999,changed_mind,approved,team_lead,2025-11-15
KW-RF-00090,KW-O-000425,799,not_delivered,processed,auto,2025-10-10
KW-RF-00091,KW-O-001330,12999,changed_mind,rejected,agent,2025-11-04
KW-RF-00092,KW-O-001483,1499,changed_mind,approved,ops_manager,2026-04-06
KW-RF-00093,KW-O-000367,6499,quality,processed,ops_manager,2025-08-16
KW-RF-00094,KW-O-000350,1499,wrong_item,requested,auto,2025-11-13
KW-RF-00095,KW-O-001388,12999,late_delivery,approved,team_lead,2026-06-29
KW-RF-00096,KW-O-000195,2999,wrong_item,processed,ops_manager,2026-07-25
KW-RF-00097,KW-O-001039,1499,damaged,approved,team_lead,2026-02-25
KW-RF-00098,KW-O-000744,799,changed_mind,requested,agent,2026-06-16
KW-RF-00099,KW-O-001479,799,not_delivered,approved,ops_manager,2025-09-30
KW-RF-00100,KW-O-000345,1499,damaged,processed,team_lead,2026-06-09
KW-RF-00101,KW-O-000485,299,changed_mind,processed,auto,2025-10-28
KW-RF-00102,KW-O-001255,299,damaged,approved,finance,2026-07-21
KW-RF-00103,KW-O-001237,799,changed_mind,approved,agent,2025-10-16
KW-RF-00104,KW-O-000548,299,quality,processed,team_lead,2026-01-11
KW-RF-00105,KW-O-001151,24999,late_delivery,approved,team_lead,2025-12-21
KW-RF-00106,KW-O-000732,2999,wrong_item,processed,finance,2026-03-04
KW-RF-00107,KW-O-000129,6499,wrong_item,processed,agent,2026-03-27
KW-RF-00108,KW-O-001154,24999,changed_mind,approved,ops_manager,2026-03-14
KW-RF-00109,KW-O-001147,299,damaged,processed,team_lead,2026-02-07
KW-RF-00110,KW-O-001457,799,wrong_item,rejected,auto,2026-01-27
KW-RF-00111,KW-O-001277,12999,wrong_item,processed,ops_manager,2025-08-01
KW-RF-00112,KW-O-001183,12999,not_delivered,requested,team_lead,2026-01-25
KW-RF-00113,KW-O-000758,299,damaged,processed,team_lead,2025-08-07
KW-RF-00114,KW-O-000682,2999,late_delivery,processed,team_lead,2026-05-31
KW-RF-00115,KW-O-000661,6499,quality,processed,auto,2026-04-09
KW-RF-00116,KW-O-000814,1499,quality,rejected,finance,2026-02-10
KW-RF-00117,KW-O-001457,12999,wrong_item,approved,agent,2025-11-21
KW-RF-00118,KW-O-000372,299,not_delivered,approved,auto,2026-01-03
KW-RF-00119,KW-O-000489,12999,damaged,processed,auto,2026-06-18
KW-RF-00120,KW-O-000879,24999,quality,processed,auto,2026-05-15
KW-RF-00121,KW-O-000504,2999,wrong_item,approved,auto,2026-05-24
KW-RF-00122,KW-O-001375,24999,damaged,processed,agent,2026-06-21
KW-RF-00123,KW-O-000101,24999,wrong_item,processed,auto,2025-09-22
KW-RF-00124,KW-O-000295,799,wrong_item,processed,auto,2025-11-14
KW-RF-00125,KW-O-000004,12999,wrong_item,processed,team_lead,2025-11-25
KW-RF-00126,KW-O-000279,799,not_delivered,processed,agent,2025-10-06
KW-RF-00127,KW-O-000588,799,damaged,requested,agent,2026-05-28
KW-RF-00128,KW-O-001438,299,damaged,requested,agent,2025-09-20
KW-RF-00129,KW-O-000916,6499,quality,approved,agent,2025-11-12
KW-RF-00130,KW-O-001356,799,not_delivered,requested,finance,2026-06-22
KW-RF-00131,KW-O-001000,6499,damaged,processed,agent,2025-12-09
KW-RF-00132,KW-O-000471,24999,wrong_item,processed,ops_manager,2025-09-15
KW-RF-00133,KW-O-001302,2999,changed_mind,approved,team_lead,2026-07-14
KW-RF-00134,KW-O-001426,6499,not_delivered,processed,ops_manager,2026-06-08
KW-RF-00135,KW-O-000769,1499,damaged,processed,finance,2026-05-21
KW-RF-00136,KW-O-001220,24999,changed_mind,processed,team_lead,2025-10-24
KW-RF-00137,KW-O-000769,299,not_delivered,requested,agent,2025-08-01
KW-RF-00138,KW-O-001314,2999,damaged,processed,ops_manager,2025-11-04
KW-RF-00139,KW-O-000486,2999,damaged,requested,agent,2026-07-20
KW-RF-00140,KW-O-000249,12999,not_delivered,processed,agent,2026-01-12
KW-RF-00141,KW-O-000141,2999,late_delivery,rejected,agent,2026-01-15
KW-RF-00142,KW-O-000383,6499,wrong_item,approved,finance,2026-04-17
KW-RF-00143,KW-O-001116,6499,changed_mind,processed,ops_manager,2025-10-16
KW-RF-00144,KW-O-001113,12999,late_delivery,approved,team_lead,2025-10-15
KW-RF-00145,KW-O-001029,799,damaged,approved,agent,2026-03-20
KW-RF-00146,KW-O-000327,799,wrong_item,rejected,finance,2026-06-29
KW-RF-00147,KW-O-000456,799,quality,processed,auto,2025-10-16
KW-RF-00148,KW-O-001024,1499,wrong_item,processed,agent,2025-12-10
KW-RF-00149,KW-O-001231,299,changed_mind,requested,auto,2026-05-27
KW-RF-00150,KW-O-001189,24999,late_delivery,approved,auto,2026-07-08
KW-RF-00151,KW-O-001472,12999,damaged,rejected,team_lead,2025-08-30
KW-RF-00152,KW-O-000351,1499,not_delivered,rejected,agent,2026-03-18
KW-RF-00153,KW-O-000317,1499,not_delivered,approved,auto,2026-02-20
KW-RF-00154,KW-O-001362,24999,late_delivery,processed,finance,2026-05-02
KW-RF-00155,KW-O-000464,24999,late_delivery,processed,auto,2025-11-17
KW-RF-00156,KW-O-000849,799,late_delivery,rejected,agent,2025-10-16
KW-RF-00157,KW-O-001316,2999,not_delivered,requested,agent,2026-07-01
KW-RF-00158,KW-O-000700,6499,late_delivery,processed,agent,2025-10-20
KW-RF-00159,KW-O-001465,6499,changed_mind,processed,finance,2025-12-21
KW-RF-00160,KW-O-001278,299,late_delivery,rejected,finance,2025-08-09
KW-RF-00161,KW-O-000697,799,damaged,processed,team_lead,2025-12-11
KW-RF-00162,KW-O-001149,2999,not_delivered,processed,auto,2026-02-14
KW-RF-00163,KW-O-001432,799,not_delivered,processed,ops_manager,2025-09-20
KW-RF-00164,KW-O-000460,799,late_delivery,processed,agent,2025-08-06
KW-RF-00165,KW-O-000011,2999,damaged,processed,auto,2026-03-05
KW-RF-00166,KW-O-000892,6499,not_delivered,processed,team_lead,2026-01-01
KW-RF-00167,KW-O-001395,2999,not_delivered,processed,team_lead,2025-10-05
KW-RF-00168,KW-O-001269,299,not_delivered,processed,team_lead,2026-04-09
KW-RF-00169,KW-O-000779,24999,not_delivered,requested,ops_manager,2026-03-11
KW-RF-00170,KW-O-000279,12999,wrong_item,processed,auto,2026-05-18
KW-RF-00171,KW-O-000353,1499,wrong_item,processed,team_lead,2026-06-09
KW-RF-00172,KW-O-001300,12999,late_delivery,approved,auto,2026-06-06
KW-RF-00173,KW-O-000226,12999,late_delivery,requested,team_lead,2025-12-17
KW-RF-00174,KW-O-000840,799,late_delivery,approved,auto,2025-09-25
KW-RF-00175,KW-O-000865,12999,changed_mind,processed,finance,2025-08-11
KW-RF-00176,KW-O-001325,6499,not_delivered,rejected,team_lead,2026-03-10
KW-RF-00177,KW-O-000823,1499,changed_mind,requested,agent,2026-01-13
KW-RF-00178,KW-O-000546,799,not_delivered,processed,team_lead,2026-05-23
KW-RF-00179,KW-O-000406,12999,wrong_item,requested,team_lead,2025-11-14
KW-RF-00180,KW-O-001487,12999,wrong_item,requested,ops_manager,2026-04-04
KW-RF-00181,KW-O-000137,1499,wrong_item,approved,auto,2026-04-28
KW-RF-00182,KW-O-001363,24999,wrong_item,processed,team_lead,2025-09-28
KW-RF-00183,KW-O-001456,1499,wrong_item,processed,auto,2026-03-25
KW-RF-00184,KW-O-000133,1499,late_delivery,processed,ops_manager,2026-02-24
KW-RF-00185,KW-O-000506,12999,damaged,processed,team_lead,2025-11-02
KW-RF-00186,KW-O-001488,299,late_delivery,rejected,agent,2025-12-20
KW-RF-00187,KW-O-000334,12999,changed_mind,approved,ops_manager,2025-11-18
KW-RF-00188,KW-O-000897,6499,changed_mind,requested,ops_manager,2026-04-11
KW-RF-00189,KW-O-001282,12999,changed_mind,approved,agent,2026-02-13
KW-RF-00190,KW-O-000847,12999,wrong_item,requested,auto,2026-01-27
KW-RF-00191,KW-O-001073,299,late_delivery,requested,auto,2026-05-13
KW-RF-00192,KW-O-000075,299,wrong_item,approved,team_lead,2026-02-20
KW-RF-00193,KW-O-000018,1499,changed_mind,processed,team_lead,2025-09-20
KW-RF-00194,KW-O-000214,299,late_delivery,processed,team_lead,2026-05-06
KW-RF-00195,KW-O-001200,12999,damaged,requested,team_lead,2026-03-16
KW-RF-00196,KW-O-000142,24999,damaged,processed,auto,2026-01-18
KW-RF-00197,KW-O-000347,12999,wrong_item,processed,team_lead,2026-07-23
KW-RF-00198,KW-O-001167,799,damaged,approved,finance,2025-10-21
KW-RF-00199,KW-O-000033,12999,changed_mind,approved,team_lead,2025-09-03
KW-RF-00200,KW-O-000266,299,damaged,processed,team_lead,2026-04-24
KW-RF-00201,KW-O-000423,299,damaged,processed,team_lead,2026-06-02
KW-RF-00202,KW-O-000019,799,damaged,approved,finance,2026-02-16
KW-RF-00203,KW-O-000933,6499,not_delivered,requested,ops_manager,2025-08-07
KW-RF-00204,KW-O-000881,2999,not_delivered,processed,team_lead,2025-09-15
KW-RF-00205,KW-O-000542,6499,wrong_item,approved,auto,2025-12-08
KW-RF-00206,KW-O-000825,299,quality,approved,team_lead,2026-05-07
KW-RF-00207,KW-O-000269,2999,changed_mind,requested,agent,2025-08-26
KW-RF-00208,KW-O-000701,24999,wrong_item,processed,auto,2025-09-11
KW-RF-00209,KW-O-000685,299,damaged,requested,ops_manager,2025-10-08
KW-RF-00210,KW-O-001484,2999,damaged,approved,team_lead,2026-03-28
KW-RF-00211,KW-O-000394,1499,damaged,requested,auto,2026-04-09
KW-RF-00212,KW-O-000863,1499,damaged,processed,ops_manager,2025-10-12
KW-RF-00213,KW-O-000650,1499,wrong_item,requested,auto,2026-02-10
KW-RF-00214,KW-O-000409,2999,damaged,approved,auto,2026-01-18
KW-RF-00215,KW-O-000297,1499,late_delivery,requested,team_lead,2025-12-03
KW-RF-00216,KW-O-001483,12999,wrong_item,approved,auto,2026-03-02
KW-RF-00217,KW-O-001059,2999,late_delivery,processed,finance,2026-01-14
KW-RF-00218,KW-O-001380,6499,wrong_item,approved,agent,2026-06-12
KW-RF-00219,KW-O-000480,2999,damaged,requested,auto,2026-07-25
KW-RF-00220,KW-O-001192,12999,late_delivery,processed,agent,2026-06-01
KW-RF-00221,KW-O-000152,24999,quality,rejected,team_lead,2026-05-28
KW-RF-00222,KW-O-000120,299,quality,processed,finance,2025-09-14
KW-RF-00223,KW-O-000337,24999,late_delivery,processed,ops_manager,2026-05-03
KW-RF-00224,KW-O-000226,24999,quality,requested,agent,2026-02-17
KW-RF-00225,KW-O-001066,2999,not_delivered,processed,team_lead,2026-05-04
KW-RF-00226,KW-O-001210,24999,not_delivered,processed,team_lead,2025-11-12
KW-RF-00227,KW-O-001302,799,not_delivered,processed,auto,2025-09-28
KW-RF-00228,KW-O-000829,2999,not_delivered,processed,ops_manager,2025-11-03
KW-RF-00229,KW-O-001090,12999,changed_mind,processed,ops_manager,2026-06-23
KW-RF-00230,KW-O-000895,1499,quality,requested,auto,2025-08-15
KW-RF-00231,KW-O-000684,299,wrong_item,processed,agent,2026-04-29
KW-RF-00232,KW-O-000959,799,not_delivered,approved,ops_manager,2026-02-08
KW-RF-00233,KW-O-000964,2999,quality,processed,ops_manager,2026-01-25
KW-RF-00234,KW-O-000939,6499,damaged,requested,auto,2026-02-15
KW-RF-00235,KW-O-001415,799,not_delivered,rejected,finance,2026-03-26
KW-RF-00236,KW-O-000456,12999,not_delivered,requested,agent,2025-10-14
KW-RF-00237,KW-O-000198,1499,changed_mind,processed,auto,2026-03-07
KW-RF-00238,KW-O-000369,12999,wrong_item,processed,ops_manager,2025-09-02
KW-RF-00239,KW-O-001455,2999,late_delivery,approved,auto,2026-01-21
KW-RF-00240,KW-O-000309,6499,not_delivered,processed,agent,2025-12-27
KW-RF-00241,KW-O-001319,24999,changed_mind,requested,finance,2026-07-23
KW-RF-00242,KW-O-000857,6499,changed_mind,processed,auto,2026-06-27
KW-RF-00243,KW-O-000040,6499,not_delivered,requested,agent,2026-04-01
KW-RF-00244,KW-O-000055,12999,quality,approved,ops_manager,2025-12-31
KW-RF-00245,KW-O-000990,799,changed_mind,requested,finance,2026-01-10
KW-RF-00246,KW-O-000468,24999,wrong_item,approved,finance,2026-03-20
KW-RF-00247,KW-O-001327,1499,damaged,approved,ops_manager,2026-04-08
KW-RF-00248,KW-O-001010,2999,damaged,processed,team_lead,2025-12-16
KW-RF-00249,KW-O-000040,6499,late_delivery,requested,auto,2025-12-11
KW-RF-00250,KW-O-000099,12999,quality,requested,agent,2025-08-18
KW-RF-00251,KW-O-000852,12999,quality,approved,auto,2026-04-27
KW-RF-00252,KW-O-001453,6499,quality,processed,team_lead,2025-12-23
KW-RF-00253,KW-O-000882,1499,not_delivered,processed,finance,2026-03-12
KW-RF-00254,KW-O-000589,24999,damaged,processed,team_lead,2025-10-22
KW-RF-00255,KW-O-000855,299,changed_mind,requested,auto,2026-04-29
KW-RF-00256,KW-O-000368,6499,late_delivery,processed,finance,2026-03-26
KW-RF-00257,KW-O-000086,2999,changed_mind,requested,auto,2026-05-24
KW-RF-00258,KW-O-001290,6499,damaged,processed,team_lead,2026-03-26
KW-RF-00259,KW-O-001098,799,changed_mind,processed,team_lead,2026-03-26
KW-RF-00260,KW-O-000029,799,wrong_item,processed,auto,2026-01-23
KW-RF-00261,KW-O-000906,1499,quality,processed,auto,2025-09-16
KW-RF-00262,KW-O-000979,2999,changed_mind,approved,auto,2026-04-27
KW-RF-00263,KW-O-001367,24999,damaged,approved,ops_manager,2025-12-11
KW-RF-00264,KW-O-001314,24999,wrong_item,processed,auto,2025-12-08
KW-RF-00265,KW-O-000912,1499,late_delivery,rejected,agent,2026-07-14
KW-RF-00266,KW-O-000363,6499,not_delivered,requested,finance,2025-11-05
KW-RF-00267,KW-O-001144,2999,damaged,rejected,finance,2025-08-24
KW-RF-00268,KW-O-000436,2999,changed_mind,approved,ops_manager,2026-01-20
KW-RF-00269,KW-O-000737,2999,changed_mind,rejected,agent,2026-05-28
KW-RF-00270,KW-O-000665,299,not_delivered,approved,ops_manager,2025-11-19
KW-RF-00271,KW-O-000413,6499,wrong_item,processed,finance,2025-09-11
KW-RF-00272,KW-O-000349,299,changed_mind,processed,auto,2025-10-20
KW-RF-00273,KW-O-001008,6499,damaged,processed,auto,2025-08-02
KW-RF-00274,KW-O-000510,12999,wrong_item,processed,auto,2026-02-12
KW-RF-00275,KW-O-000311,24999,wrong_item,approved,auto,2026-06-13
KW-RF-00276,KW-O-000829,299,quality,processed,auto,2026-03-13
KW-RF-00277,KW-O-000950,1499,changed_mind,processed,finance,2026-06-10
KW-RF-00278,KW-O-000724,299,changed_mind,approved,finance,2025-08-08
KW-RF-00279,KW-O-001021,2999,not_delivered,approved,finance,2025-08-20
KW-RF-00280,KW-O-000574,799,quality,approved,ops_manager,2026-05-07
KW-RF-00281,KW-O-000153,2999,late_delivery,requested,agent,2026-01-29
KW-RF-00282,KW-O-001412,24999,changed_mind,requested,auto,2025-08-08
KW-RF-00283,KW-O-000697,1499,late_delivery,processed,auto,2025-10-06
KW-RF-00284,KW-O-001483,2999,damaged,processed,agent,2026-02-20
KW-RF-00285,KW-O-001330,1499,changed_mind,approved,team_lead,2026-03-16
KW-RF-00286,KW-O-000291,299,late_delivery,processed,team_lead,2025-12-28
KW-RF-00287,KW-O-001107,6499,changed_mind,rejected,finance,2026-03-13
KW-RF-00288,KW-O-000444,24999,wrong_item,processed,ops_manager,2025-11-15
KW-RF-00289,KW-O-000721,799,quality,rejected,finance,2025-08-17
KW-RF-00290,KW-O-000360,799,quality,approved,ops_manager,2026-01-07
KW-RF-00291,KW-O-000172,24999,late_delivery,approved,team_lead,2025-10-27
KW-RF-00292,KW-O-001498,12999,wrong_item,processed,ops_manager,2026-07-18
KW-RF-00293,KW-O-000474,2999,late_delivery,processed,finance,2026-06-25
KW-RF-00294,KW-O-000126,6499,not_delivered,processed,agent,2026-05-30
KW-RF-00295,KW-O-000958,6499,not_delivered,processed,agent,2025-09-11
KW-RF-00296,KW-O-001082,12999,wrong_item,processed,agent,2026-05-04
KW-RF-00297,KW-O-001172,299,damaged,approved,finance,2025-10-04
KW-RF-00298,KW-O-001315,2999,quality,rejected,team_lead,2025-10-01
KW-RF-00299,KW-O-000415,1499,changed_mind,processed,auto,2025-12-02
KW-RF-00300,KW-O-000142,24999,wrong_item,requested,ops_manager,2026-02-08
KW-RF-00301,KW-O-000825,12999,damaged,processed,finance,2026-01-07
KW-RF-00302,KW-O-000090,299,damaged,approved,ops_manager,2026-07-06
KW-RF-00303,KW-O-000649,6499,quality,processed,agent,2026-05-02
KW-RF-00304,KW-O-000635,799,late_delivery,approved,ops_manager,2025-12-19
KW-RF-00305,KW-O-001131,799,quality,approved,team_lead,2025-11-06
KW-RF-00306,KW-O-001438,12999,damaged,processed,team_lead,2026-05-08
KW-RF-00307,KW-O-000603,12999,not_delivered,requested,agent,2026-07-09
KW-RF-00308,KW-O-001176,6499,changed_mind,approved,agent,2026-05-18
KW-RF-00309,KW-O-000519,2999,changed_mind,processed,auto,2026-02-20
KW-RF-00310,KW-O-000245,1499,not_delivered,processed,ops_manager,2025-08-18
KW-RF-00311,KW-O-000281,6499,late_delivery,processed,team_lead,2025-10-27
KW-RF-00312,KW-O-000375,12999,quality,processed,agent,2026-07-03
KW-RF-00313,KW-O-000157,1499,late_delivery,rejected,auto,2026-02-03
KW-RF-00314,KW-O-000034,2999,quality,processed,auto,2026-03-29
KW-RF-00315,KW-O-000086,24999,not_delivered,processed,ops_manager,2026-02-17
KW-RF-00316,KW-O-000870,299,damaged,approved,finance,2026-05-04
KW-RF-00317,KW-O-001305,24999,wrong_item,rejected,agent,2026-07-28
KW-RF-00318,KW-O-000567,24999,not_delivered,requested,finance,2026-02-22
KW-RF-00319,KW-O-000305,6499,late_delivery,processed,team_lead,2025-11-15
