sku,title,category,price_inr,seller_id,in_stock,warranty_months
KW-SKU-000070,NavajoWhite Organization Sports & Outdoor,Sports & Outdoors,1499,KW-S-0038,True,24
KW-SKU-000071,MistyRose Sell Sports & Outdoor,Sports & Outdoors,1499,KW-S-0086,False,0
KW-SKU-000072,LightSteelBlue Food Apparel,Apparel,6499,KW-S-0032,True,6
KW-SKU-000073,DimGray Out Electronic,Electronics,6499,KW-S-0057,True,0
KW-SKU-000074,Linen May Home & Kitchen,Home & Kitchen,24999,KW-S-0085,True,6
KW-SKU-000075,Purple Report Grocerie,Groceries,6499,KW-S-0002,True,24
KW-SKU-000076,LightYellow Clear Sports & Outdoor,Sports & Outdoors,799,KW-S-0040,True,0
KW-SKU-000077,DarkSalmon Choice Home & Kitchen,Home & Kitchen,2999,KW-S-0060,True,6
KW-SKU-000078,LightSteelBlue Town Apparel,Apparel,6499,KW-S-0108,True,0
KW-SKU-000079,OliveDrab Even Electronic,Electronics,1499,KW-S-0050,False,0
KW-SKU-000080,Khaki Ahead Electronic,Electronics,2999,KW-S-0041,True,24
KW-SKU-000081,HotPink Past Sports & Outdoor,Sports & Outdoors,1499,KW-S-0096,True,0
KW-SKU-000082,LimeGreen Choose Electronic,Electronics,1499,KW-S-0031,True,12
KW-SKU-000083,Aquamarine Event Grocerie,Groceries,24999,KW-S-0077,True,0
KW-SKU-000084,Moccasin Set Toy,Toys,2999,KW-S-0030,True,0
KW-SKU-000085,Teal Skill Sports & Outdoor,Sports & Outdoors,799,KW-S-0107,True,24
KW-SKU-000086,Tomato Into Beauty,Beauty,299,KW-S-0107,True,0
KW-SKU-000087,Silver Present Sports & Outdoor,Sports & Outdoors,1499,KW-S-0036,True,0
KW-SKU-000088,FloralWhite Guy Sports & Outdoor,Sports & Outdoors,299,KW-S-0049,True,0
KW-SKU-000089,DeepSkyBlue People Beauty,Beauty,6499,KW-S-0053,True,6
KW-SKU-000090,SteelBlue Former Beauty,Beauty,2999,KW-S-0033,True,6
KW-SKU-000091,Turquoise House Home & Kitchen,Home & Kitchen,24999,KW-S-0056,False,6
KW-SKU-000092,OldLace Tree Electronic,Electronics,24999,KW-S-0100,True,6
KW-SKU-000093,SlateBlue Raise Apparel,Apparel,6499,KW-S-0032,True,0
KW-SKU-000094,FloralWhite Truth Grocerie,Groceries,1499,KW-S-0071,True,0
KW-SKU-000095,Violet Meet Furniture,Furniture,6499,KW-S-0027,True,0
KW-SKU-000096,ForestGreen Member Toy,Toys,1499,KW-S-0098,False,24
KW-SKU-000097,Olive Address Toy,Toys,6499,KW-S-0113,False,12
KW-SKU-000098,Coral Guess Electronic,Electronics,2999,KW-S-0073,True,24
KW-SKU-000099,Ivory For Grocerie,Groceries,6499,KW-S-0042,True,24
KW-SKU-000100,GreenYellow Door Home & Kitchen,Home & Kitchen,54999,KW-S-0052,True,6
KW-SKU-000101,DeepPink Fall Furniture,Furniture,799,KW-S-0103,True,0
KW-SKU-000102,DarkOrchid Rate Electronic,Electronics,299,KW-S-0098,True,24
KW-SKU-000103,Gray Heavy Toy,Toys,6499,KW-S-0018,True,12
KW-SKU-000104,SpringGreen Machine Beauty,Beauty,6499,KW-S-0037,True,24
KW-SKU-000105,Aquamarine Though Grocerie,Groceries,24999,KW-S-0067,False,12
KW-SKU-000106,Violet Water Furniture,Furniture,6499,KW-S-0059,True,0
KW-SKU-000107,Khaki Site Furniture,Furniture,299,KW-S-0112,False,12
KW-SKU-000108,Green Himself Electronic,Electronics,799,KW-S-0109,True,12
KW-SKU-000109,BlanchedAlmond Inside Home & Kitchen,Home & Kitchen,799,KW-S-0004,False,0
KW-SKU-000110,DarkGreen Girl Sports & Outdoor,Sports & Outdoors,54999,KW-S-0014,True,12
KW-SKU-000111,Tan Audience Toy,Toys,24999,KW-S-0056,True,0
KW-SKU-000112,LightPink On Toy,Toys,799,KW-S-0070,True,12
KW-SKU-000113,White Throughout Electronic,Electronics,799,KW-S-0050,True,6
KW-SKU-000114,WhiteSmoke Turn Sports & Outdoor,Sports & Outdoors,1499,KW-S-0027,True,0
KW-SKU-000115,Cyan Success Toy,Toys,24999,KW-S-0074,True,0
KW-SKU-000116,Chartreuse Likely Sports & Outdoor,Sports & Outdoors,12999,KW-S-0098,False,6
KW-SKU-000117,Turquoise End Grocerie,Groceries,24999,KW-S-0110,True,0
KW-SKU-000118,LemonChiffon Establish Furniture,Furniture,12999,KW-S-0040,True,6
KW-SKU-000119,Gainsboro Road Apparel,Apparel,24999,KW-S-0010,True,24
KW-SKU-000120,LemonChiffon Drive Apparel,Apparel,12999,KW-S-0103,True,6
KW-SKU-000121,SaddleBrown Cost Electronic,Electronics,1499,KW-S-0043,True,0
KW-SKU-000122,BlueViolet Politics Toy,Toys,54999,KW-S-0055,True,12
KW-SKU-000123,LightGreen Old Sports & Outdoor,Sports & Outdoors,799,KW-S-0081,True,0
KW-SKU-000124,LightSeaGreen Benefit Sports & Outdoor,Sports & Outdoors,2999,KW-S-0098,True,24
KW-SKU-000125,Gold Significant Electronic,Electronics,24999,KW-S-0026,True,6
KW-SKU-000126,Coral Western Beauty,Beauty,299,KW-S-0093,True,0
KW-SKU-000127,DarkSeaGreen Necessary Home & Kitchen,Home & Kitchen,1499,KW-S-0057,True,12
KW-SKU-000128,LimeGreen Ask Toy,Toys,799,KW-S-0104,True,0
KW-SKU-000129,HoneyDew Drive Electronic,Electronics,6499,KW-S-0083,False,6
KW-SKU-000130,LemonChiffon Pay Apparel,Apparel,54999,KW-S-0059,True,12
KW-SKU-000131,Silver Majority Furniture,Furniture,299,KW-S-0115,True,6
KW-SKU-000132,DarkGreen Not Grocerie,Groceries,1499,KW-S-0007,False,12
KW-SKU-000133,CadetBlue From Beauty,Beauty,6499,KW-S-0039,True,0
KW-SKU-000134,Cornsilk Debate Sports & Outdoor,Sports & Outdoors,24999,KW-S-0066,True,12
KW-SKU-000135,Silver But Beauty,Beauty,2999,KW-S-0014,True,0
KW-SKU-000136,Red Because Beauty,Beauty,2999,KW-S-0048,True,12
KW-SKU-000137,Sienna Decade Home & Kitchen,Home & Kitchen,54999,KW-S-0092,True,0
KW-SKU-000138,DarkGreen Occur Furniture,Furniture,2999,KW-S-0108,True,12
KW-SKU-000139,IndianRed Piece Sports & Outdoor,Sports & Outdoors,6499,KW-S-0111,True,12
KW-SKU-000140,SlateBlue First Grocerie,Groceries,1499,KW-S-0087,True,0
KW-SKU-000141,Aqua Party Grocerie,Groceries,2999,KW-S-0051,True,6
KW-SKU-000142,Plum Traditional Electronic,Electronics,54999,KW-S-0105,True,12
KW-SKU-000143,DarkOliveGreen Service Toy,Toys,6499,KW-S-0088,True,0
KW-SKU-000144,Red Star Sports & Outdoor,Sports & Outdoors,12999,KW-S-0018,True,0
KW-SKU-000145,GoldenRod Perform Furniture,Furniture,54999,KW-S-0101,True,0
KW-SKU-000146,SaddleBrown A Beauty,Beauty,54999,KW-S-0050,True,24
KW-SKU-000147,LightCoral Somebody Furniture,Furniture,6499,KW-S-0004,True,0
KW-SKU-000148,PaleTurquoise Plant Electronic,Electronics,54999,KW-S-0054,True,0
KW-SKU-000149,LightPink Mind Sports & Outdoor,Sports & Outdoors,54999,KW-S-0045,True,0
KW-SKU-000150,Fuchsia Get Home & Kitchen,Home & Kitchen,12999,KW-S-0097,True,0
KW-SKU-000151,Tan Meeting Beauty,Beauty,299,KW-S-0080,True,0
KW-SKU-000152,Thistle Federal Electronic,Electronics,6499,KW-S-0095,True,12
KW-SKU-000153,Lime Everything Toy,Toys,24999,KW-S-0046,True,0
KW-SKU-000154,White Energy Beauty,Beauty,6499,KW-S-0093,True,0
KW-SKU-000155,MediumSpringGreen Face Toy,Toys,24999,KW-S-0047,True,0
KW-SKU-000156,SteelBlue For Beauty,Beauty,1499,KW-S-0053,True,0
KW-SKU-000157,Purple Brother Electronic,Electronics,299,KW-S-0034,True,24
KW-SKU-000158,Gainsboro Method Home & Kitchen,Home & Kitchen,799,KW-S-0008,True,6
KW-SKU-000159,AntiqueWhite From Toy,Toys,24999,KW-S-0010,True,24
KW-SKU-000160,Teal Many Grocerie,Groceries,12999,KW-S-0011,True,0
KW-SKU-000161,Snow Common Toy,Toys,2999,KW-S-0096,False,6
KW-SKU-000162,Fuchsia Attorney Grocerie,Groceries,24999,KW-S-0010,True,6
KW-SKU-000163,Plum Report Furniture,Furniture,54999,KW-S-0055,False,24
KW-SKU-000164,LimeGreen Between Grocerie,Groceries,54999,KW-S-0086,True,12
KW-SKU-000165,Red Guess Grocerie,Groceries,24999,KW-S-0086,True,12
KW-SKU-000166,WhiteSmoke Test Apparel,Apparel,299,KW-S-0095,True,0
KW-SKU-000167,Gainsboro Daughter Toy,Toys,24999,KW-S-0044,False,24
KW-SKU-000168,DarkMagenta Source Toy,Toys,299,KW-S-0068,True,0
KW-SKU-000169,Lavender Different Sports & Outdoor,Sports & Outdoors,1499,KW-S-0090,True,0
KW-SKU-000170,Linen More Electronic,Electronics,1499,KW-S-0074,True,12
KW-SKU-000171,Linen Front Grocerie,Groceries,6499,KW-S-0110,True,6
KW-SKU-000172,Wheat Marriage Furniture,Furniture,2999,KW-S-0080,True,0
KW-SKU-000173,DarkKhaki Reveal Apparel,Apparel,799,KW-S-0033,True,0
KW-SKU-000174,Lime Within Beauty,Beauty,799,KW-S-0069,True,0
KW-SKU-000175,HoneyDew Own Sports & Outdoor,Sports & Outdoors,54999,KW-S-0040,True,0
KW-SKU-000176,DeepSkyBlue Game Beauty,Beauty,799,KW-S-0033,True,24
KW-SKU-000177,DimGray Dark Toy,Toys,1499,KW-S-0034,True,6
KW-SKU-000178,Orchid Stock Apparel,Apparel,299,KW-S-0025,True,6
KW-SKU-000179,FloralWhite Together Sports & Outdoor,Sports & Outdoors,799,KW-S-0003,False,0
KW-SKU-000180,DimGray Poor Beauty,Beauty,54999,KW-S-0083,True,6
KW-SKU-000181,DimGray Gas Home & Kitchen,Home & Kitchen,24999,KW-S-0053,True,12
KW-SKU-000182,Tomato Matter Furniture,Furniture,6499,KW-S-0013,True,0
KW-SKU-000183,PapayaWhip State Toy,Toys,799,KW-S-0065,True,0
KW-SKU-000184,LightGreen Drop Apparel,Apparel,12999,KW-S-0066,True,6
KW-SKU-000185,LightGray Marriage Grocerie,Groceries,12999,KW-S-0069,True,6
KW-SKU-000186,LimeGreen Hospital Beauty,Beauty,12999,KW-S-0082,True,0
KW-SKU-000187,DarkViolet Follow Furniture,Furniture,12999,KW-S-0044,False,24
KW-SKU-000188,MediumSeaGreen Short Electronic,Electronics,6499,KW-S-0091,False,0
KW-SKU-000189,MidnightBlue Themselves Apparel,Apparel,24999,KW-S-0043,True,24
KW-SKU-000190,Maroon Listen Home & Kitchen,Home & Kitchen,24999,KW-S-0059,True,24
KW-SKU-000191,Linen Large Apparel,Apparel,2999,KW-S-0069,True,0
KW-SKU-000192,OrangeRed Sound Beauty,Beauty,6499,KW-S-0069,True,24
KW-SKU-000193,PapayaWhip Accept Home & Kitchen,Home & Kitchen,299,KW-S-0094,True,0
KW-SKU-000194,PaleGreen Around Home & Kitchen,Home & Kitchen,6499,KW-S-0111,True,6
KW-SKU-000195,PaleTurquoise Health Apparel,Apparel,1499,KW-S-0040,False,0
KW-SKU-000196,DarkSlateGray Loss Toy,Toys,54999,KW-S-0096,True,0
KW-SKU-000197,LightSalmon After Home & Kitchen,Home & Kitchen,1499,KW-S-0009,True,0
KW-SKU-000198,Green Detail Furniture,Furniture,2999,KW-S-0038,True,0
KW-SKU-000199,LightCyan Financial Sports & Outdoor,Sports & Outdoors,24999,KW-S-0012,True,0
KW-SKU-000200,Navy Agent Toy,Toys,12999,KW-S-0047,True,0
KW-SKU-000201,MediumBlue Late Home & Kitchen,Home & Kitchen,12999,KW-S-0029,True,0
KW-SKU-000202,Olive Gas Sports & Outdoor,Sports & Outdoors,6499,KW-S-0002,True,24
KW-SKU-000203,Green Subject Home & Kitchen,Home & Kitchen,799,KW-S-0115,True,12
KW-SKU-000204,IndianRed Prepare Toy,Toys,6499,KW-S-0085,True,6
KW-SKU-000205,SteelBlue Less Furniture,Furniture,24999,KW-S-0095,True,12
KW-SKU-000206,LightSalmon Both Beauty,Beauty,6499,KW-S-0042,False,6
KW-SKU-000207,Crimson Eight Home & Kitchen,Home & Kitchen,1499,KW-S-0077,True,0
KW-SKU-000208,DodgerBlue Gas Grocerie,Groceries,6499,KW-S-0044,True,12
KW-SKU-000209,Silver Year Sports & Outdoor,Sports & Outdoors,799,KW-S-0120,True,0
KW-SKU-000210,SeaShell Your Electronic,Electronics,24999,KW-S-0014,False,12
KW-SKU-000211,Brown Statement Grocerie,Groceries,799,KW-S-0003,True,24
KW-SKU-000212,Orange Rise Apparel,Apparel,1499,KW-S-0086,True,0
KW-SKU-000213,SlateBlue Enjoy Grocerie,Groceries,1499,KW-S-0054,True,0
KW-SKU-000214,LightSeaGreen Policy Apparel,Apparel,799,KW-S-0082,True,6
KW-SKU-000215,OldLace Artist Grocerie,Groceries,1499,KW-S-0084,True,24
KW-SKU-000216,DarkGreen Arrive Grocerie,Groceries,1499,KW-S-0004,True,6
KW-SKU-000217,MediumSpringGreen Fact Furniture,Furniture,799,KW-S-0096,True,6
KW-SKU-000218,WhiteSmoke Hope Beauty,Beauty,1499,KW-S-0085,True,6
KW-SKU-000219,Purple Wind Furniture,Furniture,1499,KW-S-0098,True,12
KW-SKU-000220,LightSkyBlue Bring Electronic,Electronics,2999,KW-S-0021,True,0
KW-SKU-000221,SeaShell Center Furniture,Furniture,6499,KW-S-0072,True,12
KW-SKU-000222,Cornsilk Garden Apparel,Apparel,6499,KW-S-0104,True,12
KW-SKU-000223,PaleVioletRed Thank Home & Kitchen,Home & Kitchen,1499,KW-S-0079,True,6
KW-SKU-000224,DeepPink Tv Toy,Toys,1499,KW-S-0116,True,0
KW-SKU-000225,DeepPink Perform Toy,Toys,299,KW-S-0091,False,24
KW-SKU-000226,Lime Painting Grocerie,Groceries,299,KW-S-0104,True,6
KW-SKU-000227,Green Or Electronic,Electronics,1499,KW-S-0102,False,0
KW-SKU-000228,DarkCyan Left Sports & Outdoor,Sports & Outdoors,299,KW-S-0054,True,6
KW-SKU-000229,LemonChiffon Generation Furniture,Furniture,6499,KW-S-0058,False,12
KW-SKU-000230,YellowGreen Source Toy,Toys,299,KW-S-0092,True,6
KW-SKU-000231,LightGoldenRodYellow Onto Home & Kitchen,Home & Kitchen,12999,KW-S-0056,True,6
KW-SKU-000232,Wheat Technology Beauty,Beauty,299,KW-S-0013,False,6
KW-SKU-000233,LightSteelBlue Road Toy,Toys,24999,KW-S-0104,True,24
KW-SKU-000234,Beige Challenge Furniture,Furniture,54999,KW-S-0094,False,6
KW-SKU-000235,CornflowerBlue Truth Grocerie,Groceries,2999,KW-S-0010,True,0
KW-SKU-000236,Maroon Tonight Grocerie,Groceries,1499,KW-S-0114,False,24
KW-SKU-000237,MistyRose West Electronic,Electronics,799,KW-S-0013,True,0
KW-SKU-000238,RosyBrown Small Grocerie,Groceries,299,KW-S-0119,True,24
KW-SKU-000239,HotPink Create Sports & Outdoor,Sports & Outdoors,54999,KW-S-0116,False,24
KW-SKU-000240,MediumBlue Management Electronic,Electronics,2999,KW-S-0066,True,6
KW-SKU-000241,Khaki Magazine Home & Kitchen,Home & Kitchen,6499,KW-S-0110,False,24
KW-SKU-000242,MistyRose Goal Toy,Toys,2999,KW-S-0072,True,24
KW-SKU-000243,Gray Research Sports & Outdoor,Sports & Outdoors,6499,KW-S-0010,True,0
KW-SKU-000244,LightGoldenRodYellow Especially Sports & Outdoor,Sports & Outdoors,54999,KW-S-0104,True,0
KW-SKU-000245,Beige Challenge Toy,Toys,2999,KW-S-0040,True,24
KW-SKU-000246,DarkOrchid Quality Beauty,Beauty,12999,KW-S-0113,True,12
KW-SKU-000247,PaleVioletRed Late Furniture,Furniture,2999,KW-S-0082,True,24
KW-SKU-000248,Orchid Sure Toy,Toys,2999,KW-S-0017,True,12
KW-SKU-000249,SlateBlue Success Furniture,Furniture,299,KW-S-0104,True,24
KW-SKU-000250,BurlyWood Theory Grocerie,Groceries,24999,KW-S-0107,True,12
KW-SKU-000251,Wheat As Apparel,Apparel,1499,KW-S-0048,True,24
KW-SKU-000252,Thistle Hour Apparel,Apparel,1499,KW-S-0068,False,24
KW-SKU-000253,Azure Others Electronic,Electronics,799,KW-S-0068,True,0
KW-SKU-000254,PowderBlue Almost Toy,Toys,2999,KW-S-0006,True,24
KW-SKU-000255,Tan Tv Toy,Toys,24999,KW-S-0069,True,12
KW-SKU-000256,MediumOrchid Street Furniture,Furniture,24999,KW-S-0082,True,0
KW-SKU-000257,WhiteSmoke Million Grocerie,Groceries,6499,KW-S-0042,True,0
KW-SKU-000258,LightSkyBlue Paper Furniture,Furniture,6499,KW-S-0094,True,6
KW-SKU-000259,MediumSeaGreen Protect Furniture,Furniture,12999,KW-S-0019,True,6
KW-SKU-000260,CornflowerBlue Simple Beauty,Beauty,799,KW-S-0062,True,6
KW-SKU-000261,Crimson Other Toy,Toys,1499,KW-S-0119,True,24
KW-SKU-000262,DarkGoldenRod Open Furniture,Furniture,6499,KW-S-0069,True,6
KW-SKU-000263,DarkOliveGreen Night Home & Kitchen,Home & Kitchen,799,KW-S-0091,True,24
KW-SKU-000264,DimGray Success Grocerie,Groceries,1499,KW-S-0055,True,0
KW-SKU-000265,Thistle Throughout Home & Kitchen,Home & Kitchen,54999,KW-S-0055,True,0
KW-SKU-000266,DarkCyan Painting Sports & Outdoor,Sports & Outdoors,24999,KW-S-0046,True,0
KW-SKU-000267,SeaGreen Poor Toy,Toys,24999,KW-S-0040,False,24
KW-SKU-000268,Gold Society Grocerie,Groceries,54999,KW-S-0068,True,0
KW-SKU-000269,Cornsilk Speak Electronic,Electronics,299,KW-S-0073,False,6
KW-SKU-000270,Plum Television Apparel,Apparel,299,KW-S-0107,True,0
KW-SKU-000271,LightSalmon Make Electronic,Electronics,799,KW-S-0098,True,24
KW-SKU-000272,RoyalBlue Visit Furniture,Furniture,1499,KW-S-0023,False,0
KW-SKU-000273,DeepPink Rather Apparel,Apparel,6499,KW-S-0098,True,0
KW-SKU-000274,MediumPurple Baby Sports & Outdoor,Sports & Outdoors,1499,KW-S-0062,True,24
KW-SKU-000275,Gainsboro Raise Electronic,Electronics,6499,KW-S-0056,True,0
KW-SKU-000276,MediumSlateBlue Long Home & Kitchen,Home & Kitchen,299,KW-S-0036,True,0
KW-SKU-000277,Wheat Statement Beauty,Beauty,6499,KW-S-0071,True,6
KW-SKU-000278,Plum Visit Beauty,Beauty,54999,KW-S-0096,True,24
KW-SKU-000279,Beige Interest Grocerie,Groceries,24999,KW-S-0096,True,6
KW-SKU-000280,LightYellow According Toy,Toys,6499,KW-S-0035,True,0
KW-SKU-000281,Orange After Toy,Toys,2999,KW-S-0075,True,12
KW-SKU-000282,Aqua Down Electronic,Electronics,24999,KW-S-0063,False,12
KW-SKU-000283,MediumBlue Late Apparel,Apparel,54999,KW-S-0018,True,6
KW-SKU-000284,DeepPink Event Beauty,Beauty,24999,KW-S-0119,True,6
KW-SKU-000285,Ivory Pattern Home & Kitchen,Home & Kitchen,799,KW-S-0077,True,24
KW-SKU-000286,MediumOrchid No Toy,Toys,24999,KW-S-0057,True,0
KW-SKU-000287,Salmon Ready Toy,Toys,299,KW-S-0022,False,6
KW-SKU-000288,Green Speech Toy,Toys,2999,KW-S-0072,True,0
KW-SKU-000289,MidnightBlue Walk Furniture,Furniture,54999,KW-S-0044,False,24
KW-SKU-000290,DeepSkyBlue Current Apparel,Apparel,799,KW-S-0118,True,0
KW-SKU-000291,DarkViolet Design Grocerie,Groceries,6499,KW-S-0028,False,6
KW-SKU-000292,Linen Course Grocerie,Groceries,54999,KW-S-0083,True,6
KW-SKU-000293,DarkGreen Agree Grocerie,Groceries,299,KW-S-0058,True,0
KW-SKU-000294,White Play Furniture,Furniture,12999,KW-S-0011,True,24
KW-SKU-000295,BlueViolet State Home & Kitchen,Home & Kitchen,799,KW-S-0059,True,6
KW-SKU-000296,DarkSalmon Now Home & Kitchen,Home & Kitchen,1499,KW-S-0074,True,6
KW-SKU-000297,MediumVioletRed Authority Sports & Outdoor,Sports & Outdoors,799,KW-S-0102,True,0
KW-SKU-000298,MediumOrchid Truth Toy,Toys,2999,KW-S-0087,True,6
KW-SKU-000299,Maroon Without Apparel,Apparel,2999,KW-S-0067,True,6
KW-SKU-000300,Khaki Really Furniture,Furniture,6499,KW-S-0057,True,6
KW-SKU-000301,HoneyDew Defense Grocerie,Groceries,12999,KW-S-0075,False,12
KW-SKU-000302,LimeGreen Common Electronic,Electronics,12999,KW-S-0042,True,24
KW-SKU-000303,Peru Experience Sports & Outdoor,Sports & Outdoors,2999,KW-S-0082,True,0
KW-SKU-000304,Lavender Would Grocerie,Groceries,54999,KW-S-0085,True,6
KW-SKU-000305,IndianRed Sport Grocerie,Groceries,1499,KW-S-0019,True,24
KW-SKU-000306,MidnightBlue Agreement Sports & Outdoor,Sports & Outdoors,299,KW-S-0063,True,0
KW-SKU-000307,DarkSlateGray Understand Sports & Outdoor,Sports & Outdoors,799,KW-S-0045,True,24
KW-SKU-000308,Purple Candidate Furniture,Furniture,54999,KW-S-0016,False,0
KW-SKU-000309,OldLace Agree Home & Kitchen,Home & Kitchen,799,KW-S-0043,True,12
KW-SKU-000310,Red Trip Furniture,Furniture,2999,KW-S-0099,True,6
