tracking_id,order_ref,carrier,last_scan,last_scan_at,scan_location
KW-TRK-0000185,KW-O-000185,Ecom Express,exception,2026-07-26T05:24,Priceview
KW-TRK-0000186,KW-O-000186,Bluedart,returned_to_origin,2026-07-02T16:22,Rogershaven
KW-TRK-0000187,KW-O-000187,Delhivery,delivery_attempted,2026-06-10T01:33,Russellmouth
KW-TRK-0000188,KW-O-000188,Ecom Express,returned_to_origin,2026-06-17T23:59,West Jennifer
KW-TRK-0000189,KW-O-000189,IndiaPost,out_for_delivery,2026-07-19T01:54,South Juan
KW-TRK-0000190,KW-O-000190,Delhivery,exception,2026-07-07T20:59,South Samanthaland
KW-TRK-0000191,KW-O-000191,Bluedart,exception,2026-07-11T02:14,Michelleville
KW-TRK-0000192,KW-O-000192,Bluedart,in_transit,2026-06-09T20:46,Port Davidville
KW-TRK-0000193,KW-O-000193,Delhivery,delivery_attempted,2026-07-12T10:24,North Gregory
KW-TRK-0000194,KW-O-000194,Ecom Express,delivery_attempted,2026-06-05T21:45,East Ashleybury
KW-TRK-0000195,KW-O-000195,XpressBees,delivery_attempted,2026-06-09T16:51,Port Charlestown
KW-TRK-0000196,KW-O-000196,Ecom Express,returned_to_origin,2026-06-05T21:29,Mollyland
KW-TRK-0000197,KW-O-000197,XpressBees,in_transit,2026-06-02T23:48,New Connie
KW-TRK-0000198,KW-O-000198,Bluedart,returned_to_origin,2026-06-12T16:52,Welchmouth
KW-TRK-0000199,KW-O-000199,IndiaPost,delivery_attempted,2026-07-06T21:38,New Davidberg
KW-TRK-0000200,KW-O-000200,XpressBees,delivered,2026-07-02T08:48,Lake Sara
KW-TRK-0000201,KW-O-000201,Ecom Express,delivered,2026-06-26T12:19,North Jennifer
KW-TRK-0000202,KW-O-000202,Bluedart,in_transit,2026-06-11T16:53,North Ryanbury
KW-TRK-0000203,KW-O-000203,IndiaPost,returned_to_origin,2026-06-28T11:16,North Jennifer
KW-TRK-0000204,KW-O-000204,IndiaPost,out_for_delivery,2026-07-20T00:54,Floreshaven
KW-TRK-0000205,KW-O-000205,Ecom Express,exception,2026-06-17T13:08,South Lisa
KW-TRK-0000206,KW-O-000206,Bluedart,exception,2026-07-02T22:31,Jacobsburgh
KW-TRK-0000207,KW-O-000207,Delhivery,exception,2026-06-15T01:09,Robertsshire
KW-TRK-0000208,KW-O-000208,Ecom Express,exception,2026-07-25T18:24,South Jacksontown
KW-TRK-0000209,KW-O-000209,XpressBees,returned_to_origin,2026-07-16T19:37,East Terriview
KW-TRK-0000210,KW-O-000210,Delhivery,in_transit,2026-07-20T19:55,New Barbara
KW-TRK-0000211,KW-O-000211,Delhivery,out_for_delivery,2026-06-12T23:00,Lake David
KW-TRK-0000212,KW-O-000212,IndiaPost,delivery_attempted,2026-07-08T15:21,East Jacobmouth
KW-TRK-0000213,KW-O-000213,IndiaPost,returned_to_origin,2026-06-12T15:58,East Ralph
KW-TRK-0000214,KW-O-000214,Bluedart,exception,2026-07-15T19:35,Carolynhaven
KW-TRK-0000215,KW-O-000215,Bluedart,exception,2026-07-24T01:08,Jefferyview
KW-TRK-0000216,KW-O-000216,IndiaPost,in_transit,2026-06-13T19:49,Jillhaven
KW-TRK-0000217,KW-O-000217,IndiaPost,in_transit,2026-06-23T02:15,Lake Pamelaview
KW-TRK-0000218,KW-O-000218,Ecom Express,in_transit,2026-06-16T15:07,Karenland
KW-TRK-0000219,KW-O-000219,Ecom Express,in_transit,2026-06-04T13:18,North Troyton
KW-TRK-0000220,KW-O-000220,IndiaPost,delivered,2026-06-19T11:26,Millermouth
KW-TRK-0000221,KW-O-000221,Delhivery,delivery_attempted,2026-07-13T04:53,Lake Emilymouth
KW-TRK-0000222,KW-O-000222,Ecom Express,out_for_delivery,2026-07-02T11:36,Helenland
KW-TRK-0000223,KW-O-000223,XpressBees,exception,2026-07-02T03:26,Jessicamouth
KW-TRK-0000224,KW-O-000224,IndiaPost,delivered,2026-06-15T23:34,Howardfort
KW-TRK-0000225,KW-O-000225,IndiaPost,exception,2026-07-06T22:50,Victorfort
KW-TRK-0000226,KW-O-000226,Bluedart,delivered,2026-06-21T01:28,Amyborough
KW-TRK-0000227,KW-O-000227,Ecom Express,delivery_attempted,2026-07-19T23:35,New George
KW-TRK-0000228,KW-O-000228,Ecom Express,in_transit,2026-06-10T07:21,Robertmouth
KW-TRK-0000229,KW-O-000229,IndiaPost,in_transit,2026-06-17T14:44,Sandrafurt
KW-TRK-0000230,KW-O-000230,XpressBees,delivered,2026-07-28T00:13,Meltonmouth
KW-TRK-0000231,KW-O-000231,Ecom Express,out_for_delivery,2026-07-25T17:16,Hernandezfurt
KW-TRK-0000232,KW-O-000232,XpressBees,exception,2026-07-20T18:39,Herringberg
KW-TRK-0000233,KW-O-000233,Ecom Express,delivered,2026-07-30T13:56,Patrickberg
KW-TRK-0000234,KW-O-000234,XpressBees,delivery_attempted,2026-07-03T02:19,Diazchester
KW-TRK-0000235,KW-O-000235,XpressBees,exception,2026-06-20T13:25,East Brittany
KW-TRK-0000236,KW-O-000236,Bluedart,delivered,2026-06-09T03:32,East Cody
KW-TRK-0000237,KW-O-000237,Ecom Express,delivered,2026-06-18T06:20,Kennedyview
KW-TRK-0000238,KW-O-000238,XpressBees,exception,2026-06-18T08:45,Jamesfort
KW-TRK-0000239,KW-O-000239,Delhivery,in_transit,2026-06-11T23:36,Mooreside
KW-TRK-0000240,KW-O-000240,IndiaPost,delivered,2026-06-24T19:15,Jeremyfort
KW-TRK-0000241,KW-O-000241,Bluedart,exception,2026-06-26T06:26,Reynoldsburgh
KW-TRK-0000242,KW-O-000242,Delhivery,returned_to_origin,2026-07-20T10:27,Costaton
KW-TRK-0000243,KW-O-000243,IndiaPost,exception,2026-06-29T11:42,Suzanneland
KW-TRK-0000244,KW-O-000244,Ecom Express,exception,2026-06-30T06:22,Janiceport
KW-TRK-0000245,KW-O-000245,Delhivery,out_for_delivery,2026-06-16T11:59,East April
KW-TRK-0000246,KW-O-000246,XpressBees,exception,2026-07-02T09:12,Larachester
KW-TRK-0000247,KW-O-000247,Ecom Express,exception,2026-07-16T16:50,Smithport
KW-TRK-0000248,KW-O-000248,XpressBees,delivery_attempted,2026-07-20T19:29,West Crystal
KW-TRK-0000249,KW-O-000249,Ecom Express,exception,2026-06-07T14:20,Carrberg
KW-TRK-0000250,KW-O-000250,Ecom Express,delivery_attempted,2026-07-16T11:52,Matthewstad
KW-TRK-0000251,KW-O-000251,Delhivery,delivered,2026-07-10T13:33,West Annette
KW-TRK-0000252,KW-O-000252,Ecom Express,returned_to_origin,2026-07-19T01:24,Brownmouth
KW-TRK-0000253,KW-O-000253,Delhivery,exception,2026-07-21T21:14,Robertborough
KW-TRK-0000254,KW-O-000254,Delhivery,exception,2026-07-01T02:18,Haleymouth
KW-TRK-0000255,KW-O-000255,Bluedart,returned_to_origin,2026-06-03T08:42,Buchananside
KW-TRK-0000256,KW-O-000256,IndiaPost,delivery_attempted,2026-06-09T14:32,Barbaramouth
KW-TRK-0000257,KW-O-000257,Bluedart,in_transit,2026-07-30T06:47,East Tammy
KW-TRK-0000258,KW-O-000258,XpressBees,delivery_attempted,2026-07-26T15:38,Lake Brittany
KW-TRK-0000259,KW-O-000259,Ecom Express,delivered,2026-06-19T05:50,Port Lori
KW-TRK-0000260,KW-O-000260,XpressBees,returned_to_origin,2026-06-18T09:34,Elliotttown
KW-TRK-0000261,KW-O-000261,XpressBees,returned_to_origin,2026-06-26T10:01,Williamville
KW-TRK-0000262,KW-O-000262,Bluedart,delivery_attempted,2026-06-27T14:04,Christensenmouth
KW-TRK-0000263,KW-O-000263,Delhivery,in_transit,2026-06-14T20:50,New Travisview
KW-TRK-0000264,KW-O-000264,XpressBees,out_for_delivery,2026-07-13T12:13,South Perryborough
KW-TRK-0000265,KW-O-000265,Ecom Express,returned_to_origin,2026-07-06T05:25,Jenniferstad
KW-TRK-0000266,KW-O-000266,XpressBees,delivery_attempted,2026-06-07T06:14,South Johntown
KW-TRK-0000267,KW-O-000267,Delhivery,delivered,2026-07-22T10:42,Michaelfort
KW-TRK-0000268,KW-O-000268,XpressBees,in_transit,2026-06-02T13:06,Port Joseph
KW-TRK-0000269,KW-O-000269,Ecom Express,exception,2026-07-07T16:32,Toddmouth
KW-TRK-0000270,KW-O-000270,IndiaPost,returned_to_origin,2026-07-28T00:07,Port Lisa
KW-TRK-0000271,KW-O-000271,XpressBees,in_transit,2026-07-07T11:43,New Cassie
KW-TRK-0000272,KW-O-000272,XpressBees,exception,2026-06-27T17:16,Jessicaborough
KW-TRK-0000273,KW-O-000273,Delhivery,delivered,2026-07-06T10:17,Johnfurt
KW-TRK-0000274,KW-O-000274,IndiaPost,delivered,2026-06-13T17:34,Haynestown
KW-TRK-0000275,KW-O-000275,Delhivery,out_for_delivery,2026-06-30T05:20,Joseberg
KW-TRK-0000276,KW-O-000276,Delhivery,delivered,2026-06-29T02:20,Anthonychester
KW-TRK-0000277,KW-O-000277,Bluedart,exception,2026-07-17T18:06,West Stevenberg
KW-TRK-0000278,KW-O-000278,Bluedart,returned_to_origin,2026-06-04T07:51,Garrettside
KW-TRK-0000279,KW-O-000279,IndiaPost,exception,2026-06-23T09:22,New Sean
KW-TRK-0000280,KW-O-000280,Bluedart,exception,2026-06-25T14:42,Danielview
KW-TRK-0000281,KW-O-000281,XpressBees,delivered,2026-07-31T15:13,Hillmouth
KW-TRK-0000282,KW-O-000282,Ecom Express,out_for_delivery,2026-07-03T16:53,Frankberg
