order_ref,customer_ref,sku,quantity,order_value_inr,placed_at,payment_method,status,delivery_promise_days,actual_delivery_days
KW-O-000041,KW-C-00198,KW-SKU-000139,1,24999,2025-09-09T16:42,wallet,delivered,10,4
KW-O-000042,KW-C-00384,KW-SKU-000269,1,24999,2026-03-22T12:50,card,delivered,10,
KW-O-000043,KW-C-00052,KW-SKU-000303,1,12999,2025-06-19T11:20,upi,placed,3,4
KW-O-000044,KW-C-00338,KW-SKU-000135,1,799,2025-12-18T23:21,wallet,returned,7,3
KW-O-000045,KW-C-00164,KW-SKU-000129,1,299,2026-03-15T15:19,upi,delivered,3,14
KW-O-000046,KW-C-00003,KW-SKU-000049,1,799,2025-07-19T00:06,upi,delivered,2,9
KW-O-000047,KW-C-00037,KW-SKU-000425,1,54999,2026-05-02T19:24,card,delivered,5,2
KW-O-000048,KW-C-00485,KW-SKU-000089,2,299,2025-09-23T14:01,card,delivered,10,3
KW-O-000049,KW-C-00271,KW-SKU-000310,1,24999,2025-11-04T10:49,cod,delivered,10,14
KW-O-000050,KW-C-00065,KW-SKU-000201,1,2999,2026-06-13T16:53,card,delivered,5,2
KW-O-000051,KW-C-00346,KW-SKU-000477,2,2999,2026-06-25T21:55,upi,delivered,5,9
KW-O-000052,KW-C-00035,KW-SKU-000141,1,799,2026-04-28T19:33,wallet,delivered,3,3
KW-O-000053,KW-C-00210,KW-SKU-000218,1,24999,2025-06-23T16:18,cod,shipped,7,2
KW-O-000054,KW-C-00424,KW-SKU-000029,1,24999,2025-11-27T20:26,card,shipped,7,4
KW-O-000055,KW-C-00259,KW-SKU-000193,1,799,2026-05-02T08:44,upi,delivered,5,1
KW-O-000056,KW-C-00075,KW-SKU-000230,1,799,2025-12-13T18:06,wallet,delivered,3,9
KW-O-000057,KW-C-00403,KW-SKU-000546,1,24999,2025-09-24T01:08,cod,cancelled,3,14
KW-O-000058,KW-C-00236,KW-SKU-000597,1,12999,2025-12-11T02:22,cod,shipped,3,9
KW-O-000059,KW-C-00464,KW-SKU-000424,1,6499,2025-10-29T01:49,upi,delivered,3,14
KW-O-000060,KW-C-00259,KW-SKU-000115,2,799,2026-05-11T06:06,card,delivered,3,4
KW-O-000061,KW-C-00218,KW-SKU-000263,1,299,2025-07-13T08:41,upi,delivered,2,9
KW-O-000062,KW-C-00359,KW-SKU-000356,1,299,2026-02-08T19:13,wallet,cancelled,3,
KW-O-000063,KW-C-00245,KW-SKU-000053,1,12999,2026-07-24T12:58,upi,delivered,2,6
KW-O-000064,KW-C-00488,KW-SKU-000241,1,799,2026-04-06T10:21,upi,cancelled,7,14
KW-O-000065,KW-C-00110,KW-SKU-000149,1,6499,2025-06-24T20:11,card,delivered,3,9
KW-O-000066,KW-C-00336,KW-SKU-000581,3,54999,2026-03-02T02:41,wallet,delivered,10,4
KW-O-000067,KW-C-00250,KW-SKU-000592,1,12999,2026-03-13T05:18,card,returned,3,6
KW-O-000068,KW-C-00137,KW-SKU-000087,1,54999,2026-05-24T00:25,upi,returned,7,1
KW-O-000069,KW-C-00363,KW-SKU-000540,1,12999,2025-11-24T00:36,upi,delivered,7,2
KW-O-000070,KW-C-00082,KW-SKU-000373,2,6499,2025-08-26T16:42,wallet,shipped,3,1
KW-O-000071,KW-C-00278,KW-SKU-000043,1,2999,2025-06-18T13:41,card,returned,3,3
KW-O-000072,KW-C-00326,KW-SKU-000572,1,54999,2025-12-20T16:31,card,cancelled,3,2
KW-O-000073,KW-C-00454,KW-SKU-000483,1,2999,2025-07-07T21:53,card,delivered,3,14
KW-O-000074,KW-C-00390,KW-SKU-000297,1,1499,2026-03-08T16:02,card,delivered,2,2
KW-O-000075,KW-C-00432,KW-SKU-000023,1,1499,2026-05-22T06:29,upi,delivered,2,14
KW-O-000076,KW-C-00250,KW-SKU-000440,1,2999,2025-10-09T18:42,upi,delivered,3,9
KW-O-000077,KW-C-00169,KW-SKU-000093,1,299,2026-03-08T22:23,card,delivered,2,1
KW-O-000078,KW-C-00058,KW-SKU-000310,1,6499,2026-07-11T01:00,wallet,shipped,3,4
KW-O-000079,KW-C-00006,KW-SKU-000214,1,54999,2025-07-14T09:22,card,delivered,2,3
KW-O-000080,KW-C-00118,KW-SKU-000002,1,2999,2026-07-23T05:17,upi,delivered,5,4
KW-O-000081,KW-C-00169,KW-SKU-000209,1,24999,2026-05-28T06:10,wallet,shipped,10,1
KW-O-000082,KW-C-00446,KW-SKU-000425,1,2999,2025-09-02T06:10,card,cancelled,7,14
KW-O-000083,KW-C-00372,KW-SKU-000312,1,2999,2026-06-08T09:39,cod,delivered,5,6
KW-O-000084,KW-C-00482,KW-SKU-000019,1,24999,2025-07-27T07:13,upi,delivered,2,1
KW-O-000085,KW-C-00148,KW-SKU-000339,1,799,2026-01-16T14:25,upi,delivered,7,14
KW-O-000086,KW-C-00073,KW-SKU-000594,2,1499,2026-01-25T20:47,upi,delivered,5,2
KW-O-000087,KW-C-00183,KW-SKU-000006,1,299,2025-09-07T19:36,upi,returned,7,14
KW-O-000088,KW-C-00374,KW-SKU-000199,1,1499,2025-08-23T01:11,wallet,delivered,3,3
KW-O-000089,KW-C-00338,KW-SKU-000565,2,12999,2025-09-18T19:15,upi,delivered,7,
KW-O-000090,KW-C-00120,KW-SKU-000358,2,299,2026-01-29T14:57,netbanking,cancelled,5,
KW-O-000091,KW-C-00089,KW-SKU-000348,1,2999,2026-04-17T15:08,upi,placed,2,2
KW-O-000092,KW-C-00468,KW-SKU-000337,1,12999,2025-09-05T07:52,upi,delivered,3,
KW-O-000093,KW-C-00360,KW-SKU-000556,1,1499,2026-05-19T06:23,upi,delivered,7,6
KW-O-000094,KW-C-00300,KW-SKU-000019,3,299,2026-07-25T05:19,card,returned,10,1
KW-O-000095,KW-C-00060,KW-SKU-000556,1,6499,2026-06-08T02:59,cod,shipped,10,4
KW-O-000096,KW-C-00490,KW-SKU-000336,3,6499,2026-03-20T04:34,upi,delivered,3,1
KW-O-000097,KW-C-00377,KW-SKU-000361,1,54999,2026-02-15T13:48,upi,delivered,10,2
KW-O-000098,KW-C-00348,KW-SKU-000192,1,2999,2025-08-29T11:09,card,delivered,5,
KW-O-000099,KW-C-00497,KW-SKU-000146,1,6499,2026-04-23T03:13,upi,cancelled,2,2
KW-O-000100,KW-C-00000,KW-SKU-000562,1,12999,2026-04-05T13:30,netbanking,delivered,2,2
KW-O-000101,KW-C-00337,KW-SKU-000171,1,2999,2026-03-05T03:56,card,delivered,10,14
KW-O-000102,KW-C-00003,KW-SKU-000526,1,54999,2025-07-24T14:10,upi,delivered,3,4
KW-O-000103,KW-C-00351,KW-SKU-000507,1,799,2025-06-12T20:05,wallet,delivered,10,
KW-O-000104,KW-C-00238,KW-SKU-000107,1,12999,2025-09-13T17:50,wallet,returned,3,4
KW-O-000105,KW-C-00346,KW-SKU-000497,1,12999,2026-07-16T22:43,cod,shipped,5,14
KW-O-000106,KW-C-00333,KW-SKU-000107,1,6499,2026-07-10T11:14,wallet,returned,7,14
KW-O-000107,KW-C-00026,KW-SKU-000582,1,299,2025-12-12T21:29,upi,delivered,5,6
KW-O-000108,KW-C-00160,KW-SKU-000473,1,6499,2026-01-08T06:55,cod,delivered,2,1
KW-O-000109,KW-C-00206,KW-SKU-000595,2,1499,2026-05-24T09:01,wallet,shipped,5,6
KW-O-000110,KW-C-00152,KW-SKU-000462,2,799,2025-12-04T18:37,wallet,placed,5,4
KW-O-000111,KW-C-00296,KW-SKU-000527,1,12999,2026-02-27T03:30,netbanking,delivered,10,1
KW-O-000112,KW-C-00415,KW-SKU-000586,3,12999,2026-06-01T06:26,upi,delivered,10,4
KW-O-000113,KW-C-00168,KW-SKU-000426,1,799,2026-06-28T07:30,upi,delivered,3,6
KW-O-000114,KW-C-00250,KW-SKU-000215,1,54999,2025-07-07T14:57,upi,shipped,7,
KW-O-000115,KW-C-00048,KW-SKU-000197,1,299,2026-04-04T16:31,upi,placed,10,4
KW-O-000116,KW-C-00298,KW-SKU-000160,1,2999,2026-04-04T16:03,wallet,delivered,5,1
KW-O-000117,KW-C-00462,KW-SKU-000193,1,12999,2025-12-07T21:52,card,delivered,2,3
KW-O-000118,KW-C-00044,KW-SKU-000141,2,24999,2025-11-28T12:32,upi,shipped,3,9
KW-O-000119,KW-C-00414,KW-SKU-000121,1,54999,2026-02-19T11:33,card,delivered,2,4
KW-O-000120,KW-C-00495,KW-SKU-000131,1,54999,2025-09-23T20:20,upi,delivered,10,9
KW-O-000121,KW-C-00299,KW-SKU-000248,1,12999,2025-07-03T07:14,upi,delivered,2,3
KW-O-000122,KW-C-00020,KW-SKU-000420,1,6499,2025-07-05T22:01,card,delivered,5,6
KW-O-000123,KW-C-00288,KW-SKU-000280,1,24999,2026-03-14T08:17,card,shipped,10,4
KW-O-000124,KW-C-00489,KW-SKU-000151,1,299,2025-08-18T19:11,cod,delivered,7,14
KW-O-000125,KW-C-00463,KW-SKU-000157,1,1499,2025-08-26T15:55,cod,delivered,3,1
KW-O-000126,KW-C-00197,KW-SKU-000303,1,12999,2026-03-17T15:05,card,placed,5,9
KW-O-000127,KW-C-00165,KW-SKU-000348,1,299,2026-03-21T13:01,card,delivered,5,14
KW-O-000128,KW-C-00255,KW-SKU-000510,1,6499,2025-06-12T12:20,cod,shipped,3,
KW-O-000129,KW-C-00439,KW-SKU-000196,1,299,2026-04-21T18:52,card,delivered,2,1
KW-O-000130,KW-C-00091,KW-SKU-000250,1,24999,2026-07-15T22:05,wallet,returned,3,14
KW-O-000131,KW-C-00094,KW-SKU-000188,1,54999,2025-06-20T20:50,upi,delivered,2,14
KW-O-000132,KW-C-00234,KW-SKU-000038,1,54999,2025-08-27T07:07,card,delivered,5,2
KW-O-000133,KW-C-00019,KW-SKU-000057,1,2999,2025-10-19T11:18,card,delivered,7,14
KW-O-000134,KW-C-00457,KW-SKU-000167,2,24999,2026-06-11T19:15,card,placed,3,4
KW-O-000135,KW-C-00301,KW-SKU-000074,1,1499,2025-12-03T23:05,upi,delivered,10,3
KW-O-000136,KW-C-00001,KW-SKU-000345,1,54999,2025-09-02T17:41,card,shipped,7,1
KW-O-000137,KW-C-00459,KW-SKU-000572,1,1499,2025-07-20T14:27,upi,delivered,7,6
KW-O-000138,KW-C-00232,KW-SKU-000055,1,12999,2025-10-26T14:34,upi,delivered,7,3
KW-O-000139,KW-C-00031,KW-SKU-000409,1,1499,2025-09-28T05:27,wallet,delivered,2,2
KW-O-000140,KW-C-00215,KW-SKU-000590,1,6499,2025-10-15T09:46,card,delivered,5,9
KW-O-000141,KW-C-00379,KW-SKU-000277,1,299,2025-09-22T01:28,cod,delivered,2,14
KW-O-000142,KW-C-00225,KW-SKU-000159,1,6499,2025-12-30T09:58,cod,returned,3,9
KW-O-000143,KW-C-00111,KW-SKU-000463,1,6499,2026-05-31T11:15,upi,delivered,10,6
KW-O-000144,KW-C-00226,KW-SKU-000003,2,6499,2025-06-18T07:43,upi,delivered,7,1
KW-O-000145,KW-C-00044,KW-SKU-000145,2,54999,2026-05-10T10:54,netbanking,shipped,5,3
KW-O-000146,KW-C-00267,KW-SKU-000062,1,1499,2026-04-13T04:45,upi,returned,7,2
KW-O-000147,KW-C-00131,KW-SKU-000122,1,299,2026-03-27T17:00,upi,cancelled,2,14
KW-O-000148,KW-C-00171,KW-SKU-000396,1,24999,2025-07-03T05:17,upi,placed,3,2
KW-O-000149,KW-C-00193,KW-SKU-000312,3,12999,2026-04-15T03:59,upi,shipped,10,4
KW-O-000150,KW-C-00450,KW-SKU-000178,1,6499,2025-09-11T01:48,card,delivered,3,9
KW-O-000151,KW-C-00042,KW-SKU-000408,1,799,2026-01-03T03:13,upi,shipped,10,6
KW-O-000152,KW-C-00267,KW-SKU-000450,1,799,2025-06-22T16:37,upi,delivered,7,
KW-O-000153,KW-C-00187,KW-SKU-000174,1,54999,2025-08-26T04:48,upi,delivered,2,
KW-O-000154,KW-C-00029,KW-SKU-000291,1,24999,2026-01-14T22:06,netbanking,delivered,7,14
KW-O-000155,KW-C-00358,KW-SKU-000155,1,6499,2026-05-25T05:45,upi,delivered,5,2
KW-O-000156,KW-C-00017,KW-SKU-000584,2,299,2025-08-17T12:22,upi,placed,2,
KW-O-000157,KW-C-00014,KW-SKU-000180,1,299,2026-03-15T15:25,card,delivered,10,
KW-O-000158,KW-C-00351,KW-SKU-000235,1,1499,2025-10-12T08:20,card,placed,3,
KW-O-000159,KW-C-00463,KW-SKU-000484,1,54999,2026-03-17T11:17,upi,delivered,5,4
KW-O-000160,KW-C-00164,KW-SKU-000462,1,6499,2026-05-01T08:30,cod,shipped,3,14
KW-O-000161,KW-C-00342,KW-SKU-000169,1,799,2025-12-24T16:53,upi,shipped,3,
KW-O-000162,KW-C-00020,KW-SKU-000375,1,2999,2026-01-19T23:04,card,returned,10,4
KW-O-000163,KW-C-00404,KW-SKU-000433,1,24999,2026-05-18T08:20,wallet,delivered,10,
KW-O-000164,KW-C-00273,KW-SKU-000117,1,24999,2026-03-29T00:02,wallet,placed,10,9
KW-O-000165,KW-C-00254,KW-SKU-000090,2,54999,2026-03-01T04:23,upi,delivered,5,6
KW-O-000166,KW-C-00264,KW-SKU-000521,1,6499,2026-04-07T01:29,upi,placed,2,4
KW-O-000167,KW-C-00257,KW-SKU-000410,1,299,2026-02-24T10:45,upi,delivered,5,9
KW-O-000168,KW-C-00289,KW-SKU-000591,1,2999,2025-06-28T04:45,card,delivered,3,9
KW-O-000169,KW-C-00498,KW-SKU-000451,1,799,2025-09-28T06:39,card,shipped,2,9
KW-O-000170,KW-C-00492,KW-SKU-000547,1,24999,2025-08-01T09:11,cod,delivered,5,4
KW-O-000171,KW-C-00039,KW-SKU-000248,1,24999,2025-10-14T06:26,card,delivered,2,
KW-O-000172,KW-C-00333,KW-SKU-000281,1,299,2025-11-08T14:25,cod,placed,3,3
KW-O-000173,KW-C-00135,KW-SKU-000158,1,54999,2026-04-28T12:06,upi,shipped,5,9
KW-O-000174,KW-C-00279,KW-SKU-000167,2,54999,2026-01-23T16:17,cod,delivered,2,3
KW-O-000175,KW-C-00437,KW-SKU-000288,1,6499,2025-07-27T06:28,upi,delivered,7,6
KW-O-000176,KW-C-00002,KW-SKU-000301,1,2999,2026-04-03T15:40,netbanking,returned,7,6
KW-O-000177,KW-C-00406,KW-SKU-000184,1,24999,2026-06-10T21:11,card,shipped,5,1
KW-O-000178,KW-C-00176,KW-SKU-000147,1,1499,2026-01-04T04:42,upi,cancelled,7,
KW-O-000179,KW-C-00236,KW-SKU-000481,1,6499,2026-07-19T22:47,upi,delivered,7,6
KW-O-000180,KW-C-00120,KW-SKU-000284,1,1499,2025-07-31T04:18,wallet,delivered,3,14
KW-O-000181,KW-C-00353,KW-SKU-000336,3,24999,2025-06-09T21:47,card,delivered,2,4
KW-O-000182,KW-C-00192,KW-SKU-000255,1,299,2025-12-19T11:06,card,cancelled,10,6
KW-O-000183,KW-C-00245,KW-SKU-000248,1,12999,2026-01-22T04:51,upi,returned,2,9
KW-O-000184,KW-C-00283,KW-SKU-000411,1,1499,2026-04-21T12:18,wallet,delivered,2,
KW-O-000185,KW-C-00336,KW-SKU-000428,1,6499,2025-06-29T07:06,upi,cancelled,3,2
KW-O-000186,KW-C-00017,KW-SKU-000134,1,54999,2026-03-28T13:44,upi,delivered,3,1
KW-O-000187,KW-C-00428,KW-SKU-000450,3,1499,2025-11-19T22:57,cod,cancelled,7,2
KW-O-000188,KW-C-00211,KW-SKU-000165,1,54999,2026-07-29T09:27,cod,delivered,3,2
KW-O-000189,KW-C-00066,KW-SKU-000078,1,299,2025-08-28T00:56,upi,cancelled,10,
KW-O-000190,KW-C-00388,KW-SKU-000048,2,24999,2026-07-31T11:37,card,delivered,5,9
KW-O-000191,KW-C-00169,KW-SKU-000525,1,2999,2026-07-09T00:20,upi,delivered,5,2
KW-O-000192,KW-C-00476,KW-SKU-000029,1,1499,2026-07-18T12:17,upi,placed,3,14
KW-O-000193,KW-C-00299,KW-SKU-000042,2,12999,2026-05-09T12:48,cod,delivered,7,6
KW-O-000194,KW-C-00274,KW-SKU-000513,2,6499,2025-10-21T18:28,upi,placed,3,1
KW-O-000195,KW-C-00040,KW-SKU-000225,2,1499,2025-12-12T18:15,cod,delivered,7,2
KW-O-000196,KW-C-00107,KW-SKU-000163,2,2999,2025-10-15T13:02,cod,returned,10,14
KW-O-000197,KW-C-00064,KW-SKU-000453,2,54999,2026-01-20T22:32,upi,shipped,10,9
KW-O-000198,KW-C-00241,KW-SKU-000147,1,24999,2025-10-29T23:08,netbanking,delivered,3,1
KW-O-000199,KW-C-00467,KW-SKU-000494,1,2999,2026-07-05T06:08,cod,delivered,2,1
KW-O-000200,KW-C-00093,KW-SKU-000549,1,2999,2026-04-19T06:26,card,delivered,5,
KW-O-000201,KW-C-00175,KW-SKU-000435,1,1499,2025-12-12T21:35,cod,cancelled,7,
KW-O-000202,KW-C-00028,KW-SKU-000260,1,12999,2025-07-05T18:21,upi,delivered,7,4
KW-O-000203,KW-C-00482,KW-SKU-000128,1,2999,2025-07-24T16:10,wallet,delivered,3,3
KW-O-000204,KW-C-00417,KW-SKU-000458,2,299,2026-03-01T20:54,upi,shipped,5,1
KW-O-000205,KW-C-00169,KW-SKU-000350,1,24999,2025-10-03T17:48,upi,delivered,3,
KW-O-000206,KW-C-00332,KW-SKU-000039,1,799,2026-05-29T05:35,upi,returned,10,2
KW-O-000207,KW-C-00403,KW-SKU-000597,1,6499,2026-03-13T18:00,upi,delivered,3,14
KW-O-000208,KW-C-00194,KW-SKU-000010,1,6499,2026-03-01T00:00,upi,returned,5,14
KW-O-000209,KW-C-00382,KW-SKU-000233,1,1499,2026-06-30T07:37,upi,placed,3,6
KW-O-000210,KW-C-00180,KW-SKU-000547,1,54999,2026-02-18T22:08,card,delivered,7,3
KW-O-000211,KW-C-00346,KW-SKU-000268,2,6499,2025-12-10T03:06,netbanking,delivered,2,
KW-O-000212,KW-C-00012,KW-SKU-000568,1,2999,2026-04-23T20:03,card,shipped,2,4
KW-O-000213,KW-C-00294,KW-SKU-000523,1,799,2025-12-14T14:59,card,returned,7,2
KW-O-000214,KW-C-00073,KW-SKU-000557,1,12999,2026-03-26T08:40,upi,delivered,5,2
KW-O-000215,KW-C-00276,KW-SKU-000017,2,12999,2025-07-07T00:55,cod,shipped,5,4
KW-O-000216,KW-C-00206,KW-SKU-000469,1,54999,2026-02-15T15:31,upi,delivered,7,2
KW-O-000217,KW-C-00474,KW-SKU-000390,1,24999,2026-02-09T23:18,upi,delivered,10,6
KW-O-000218,KW-C-00491,KW-SKU-000506,1,12999,2026-03-08T21:50,upi,delivered,5,1
KW-O-000219,KW-C-00165,KW-SKU-000245,1,24999,2026-02-28T11:35,card,delivered,2,
KW-O-000220,KW-C-00153,KW-SKU-000526,1,6499,2025-09-04T11:46,cod,delivered,10,9
KW-O-000221,KW-C-00353,KW-SKU-000320,1,12999,2025-10-10T00:04,card,returned,7,3
KW-O-000222,KW-C-00201,KW-SKU-000320,1,799,2025-08-04T02:09,upi,delivered,2,6
KW-O-000223,KW-C-00251,KW-SKU-000302,1,12999,2026-03-25T01:43,card,delivered,2,3
KW-O-000224,KW-C-00322,KW-SKU-000394,1,6499,2026-06-10T05:15,upi,placed,10,3
KW-O-000225,KW-C-00486,KW-SKU-000058,1,12999,2026-01-26T12:51,wallet,delivered,2,3
KW-O-000226,KW-C-00449,KW-SKU-000292,1,1499,2026-01-14T08:42,upi,returned,7,4
KW-O-000227,KW-C-00329,KW-SKU-000022,1,799,2026-01-18T06:49,card,delivered,10,1
KW-O-000228,KW-C-00367,KW-SKU-000168,1,12999,2026-03-15T07:31,upi,placed,2,6
KW-O-000229,KW-C-00311,KW-SKU-000258,1,2999,2026-06-14T00:00,cod,delivered,7,1
KW-O-000230,KW-C-00283,KW-SKU-000089,3,799,2025-08-13T10:34,card,delivered,3,6
KW-O-000231,KW-C-00363,KW-SKU-000375,1,2999,2026-07-02T13:17,card,delivered,10,14
KW-O-000232,KW-C-00456,KW-SKU-000472,1,24999,2025-10-22T00:01,card,delivered,5,3
KW-O-000233,KW-C-00393,KW-SKU-000119,1,1499,2025-09-05T10:55,upi,cancelled,3,2
KW-O-000234,KW-C-00020,KW-SKU-000094,1,6499,2025-11-28T04:43,upi,shipped,10,1
KW-O-000235,KW-C-00364,KW-SKU-000071,1,24999,2026-07-22T17:04,upi,delivered,3,2
KW-O-000236,KW-C-00346,KW-SKU-000589,2,299,2025-08-30T00:31,upi,placed,3,4
KW-O-000237,KW-C-00200,KW-SKU-000575,1,2999,2026-02-11T15:37,card,returned,3,14
KW-O-000238,KW-C-00250,KW-SKU-000055,3,799,2026-04-13T01:09,cod,shipped,3,2
KW-O-000239,KW-C-00454,KW-SKU-000518,1,54999,2025-09-04T19:34,card,delivered,2,2
KW-O-000240,KW-C-00369,KW-SKU-000210,1,299,2025-12-10T03:35,wallet,returned,5,6
KW-O-000241,KW-C-00220,KW-SKU-000028,3,799,2026-03-20T02:46,card,delivered,7,9
KW-O-000242,KW-C-00423,KW-SKU-000507,1,1499,2025-07-22T10:46,upi,cancelled,7,3
KW-O-000243,KW-C-00038,KW-SKU-000386,1,2999,2025-11-29T23:41,card,placed,3,
KW-O-000244,KW-C-00372,KW-SKU-000078,1,299,2026-07-03T17:02,upi,cancelled,7,1
KW-O-000245,KW-C-00388,KW-SKU-000587,1,2999,2025-10-31T08:53,card,delivered,7,1
KW-O-000246,KW-C-00176,KW-SKU-000287,1,24999,2025-06-17T23:43,upi,delivered,3,4
KW-O-000247,KW-C-00353,KW-SKU-000472,1,54999,2025-11-23T20:32,card,delivered,10,1
KW-O-000248,KW-C-00296,KW-SKU-000507,2,799,2025-06-27T21:39,card,placed,7,4
KW-O-000249,KW-C-00093,KW-SKU-000221,1,299,2025-12-18T06:45,cod,delivered,10,
KW-O-000250,KW-C-00146,KW-SKU-000554,1,2999,2026-01-21T01:45,upi,delivered,3,
KW-O-000251,KW-C-00307,KW-SKU-000005,2,54999,2026-02-22T14:51,card,delivered,5,3
KW-O-000252,KW-C-00281,KW-SKU-000345,1,12999,2026-03-24T17:46,upi,cancelled,3,2
KW-O-000253,KW-C-00400,KW-SKU-000024,3,6499,2026-04-30T05:51,upi,shipped,3,14
KW-O-000254,KW-C-00277,KW-SKU-000574,2,54999,2026-06-27T07:49,card,cancelled,3,3
KW-O-000255,KW-C-00272,KW-SKU-000017,1,2999,2025-12-11T04:37,upi,delivered,10,6
KW-O-000256,KW-C-00215,KW-SKU-000280,1,54999,2026-04-24T09:22,netbanking,delivered,7,4
KW-O-000257,KW-C-00392,KW-SKU-000090,1,24999,2026-06-23T19:39,card,delivered,5,3
KW-O-000258,KW-C-00246,KW-SKU-000409,1,6499,2026-05-16T21:24,upi,delivered,10,2
KW-O-000259,KW-C-00383,KW-SKU-000275,1,799,2025-09-01T12:28,upi,shipped,2,6
KW-O-000260,KW-C-00359,KW-SKU-000388,2,799,2025-11-20T17:31,upi,delivered,2,6
KW-O-000261,KW-C-00469,KW-SKU-000031,2,24999,2026-04-03T17:48,card,delivered,3,14
KW-O-000262,KW-C-00400,KW-SKU-000340,1,6499,2025-06-24T13:37,upi,delivered,5,3
KW-O-000263,KW-C-00256,KW-SKU-000252,1,6499,2026-04-12T16:40,cod,returned,3,
